nav.bi|Analytics
nav.bi_dg|Analytics général
nav.bi_rh|Analytics RH
nav.bi_ecole|Analytics École
nav.bi_hotel|Analytics Hôtel
nav.bi_restaurant|Analytics Restaurant
nav.collab|Collaboration
nav.salaires|Salaires & Paie
nav.declarations_cnss|Déclarations CNSS
nav.housekeeping|Housekeeping
nav.calendrier|Calendrier
nav.taches|Tâches
nav.sante|Clinique
nav.sante_patients|Patients
nav.sante_rdv|Rendez-vous
nav.sante_consultations|Consultations
nav.sante_medecins|Médecins
nav.pharmacie|Pharmacie
nav.pharmacie_meds|Médicaments
nav.pharmacie_ventes|Ventes / POS
nav.miaa|IA Académique
common.seeDetails|Voir détails
common.create|Créer
common.duplicate|Dupliquer
common.archive|Archiver
common.restore|Restaurer
common.send|Envoyer
common.share|Partager
common.copy|Copier
common.refresh|Actualiser
common.reset|Réinitialiser
common.generate|Générer
common.warning|Avertissement
common.info|Information
common.empty|Aucun résultat
common.notFound|Introuvable
common.sent|Envoyé
common.overdue|En retard
common.required|Requis
common.optional|Optionnel
common.description|Description
common.type|Type
common.category|Catégorie
common.reference|Référence
common.comment|Commentaire
common.note|Note
common.period|Période
common.year|Année
common.month|Mois
common.week|Semaine
common.student|Étudiant
common.label|Libellé
common.method|Méthode
common.choose|Choisir
common.contact|Contact
common.message|Message
common.nameField|Nom
common.titleField|Titre
common.dateStart|Date de début
common.dateEnd|Date de fin
common.day|Jour
dash.recentActivity|Activité récente
dash.direction|Direction Générale
dash.revenue12m|Revenus 12 mois
dash.expenses|Répartition dépenses
dash.topClients|Top clients
dash.forecast|Prévisions 30 jours
dash.activeClients|Clients actifs
dash.pending|En cours
dash.shortcuts|Raccourcis
dash.lastTransactions|Dernières Transactions
dash.enrolled|Étudiants inscrits
dash.active|Actifs
dash.suspended|Suspendus
dash.totalAbsences|Absences totales
dash.invoiceBreakdown|Répartition factures
dash.quickLinks|Accès rapide
dash.lastDays|30 derniers jours
dash.positive|Positif
dash.deficit|Déficit
dash.monthCumul|Cumul du mois
dash.restricted|Accès restreint
dash.billedInvoices|Factures émises
dash.lowStock|stocks faibles
dash.noData|Aucune donnée
dash.overview|Vue d\
dash.kpiTitle|Indicateurs clés
finance.margin|Marge nette
finance.cashflow|Flux de trésorerie
finance.mobile|Mobile Money
finance.receivables|Créances clients
finance.payables|Dettes fournisseurs
finance.vat|TVA
finance.vatCollected|TVA collectée
finance.vatDeductible|TVA déductible
finance.vatNet|TVA nette à payer
finance.payroll|Masse salariale
finance.entries|Entrées
finance.exits|Sorties
finance.net|Net
finance.cumul|Cumul
finance.monthly|Mensuel
finance.annual|Annuel
finance.scoreExcellent|Excellente
finance.scoreGood|Bonne
finance.scoreOk|Correcte
finance.scoreFair|Fragile
finance.scoreCritical|Critique
finance.preview|Prévisions
finance.overview|Aperçu financier
finance.sources|Sources de revenus
finance.apercu|Aperçu
finance.tabs.cashflow|Cashflow
finance.tabs.sources|Sources
finance.tabs.previsions|Prévisions
finance.tabs.tva|TVA
invoice.title|Facturation
invoice.new|Nouvelle facture
invoice.number|Numéro
invoice.client|Client
invoice.amount|Montant
invoice.dueDate|Échéance
invoice.status.paid|Payée
invoice.status.unpaid|Impayée
invoice.status.partial|Partielle
invoice.status.overdue|En retard
invoice.sendEmail|Envoyer par email
invoice.markPaid|Marquer payée
invoice.download|Télécharger PDF
treso.title|Trésorerie
treso.balance|Solde total
treso.bankAccounts|Comptes bancaires
treso.cashRegisters|Caisses
treso.mobileWallets|Portefeuilles Mobile
treso.transfer|Virement
treso.withdrawal|Retrait
treso.deposit|Dépôt
treso.reconcile|Rapprochement
wf.all|Tous
wf.new|Nouvelle demande
wf.type.depense|Dépense
wf.type.achat|Achat
wf.type.conge|Congé
wf.type.recrutement|Recrutement
wf.type.facturation|Facturation
wf.type.paiement|Paiement
wf.type.stock|Stock
wf.type.inscription|Inscription
wf.status.brouillon|Brouillon
wf.status.soumis|Soumis
wf.status.approuve|Approuvé
wf.status.rejete|Rejeté
wf.status.annule|Annulé
wf.status.cloture|Clôturé
wf.priority.urgente|Urgente
wf.priority.haute|Haute
wf.priority.normale|Normale
wf.priority.basse|Basse
wf.cancel|Annuler
wf.comment|Commenter
wf.history|Historique
wf.timeline|Chronologie
wf.pendingCount|{{count}} en attente
wf.sla|Délai SLA
wf.overdue|En retard
wf.noInbox|Aucune validation en attente
wf.noRequests|Aucune demande créée
rh.employee|Employé
rh.contract|Contrat
rh.payslip|Fiche de paie
rh.payroll|Paie
rh.leave|Congés
rh.absence|Absences
rh.recruitment|Recrutement
rh.position|Poste
rh.department|Département
rh.hire|Embaucher
rh.terminate|Licencier
rh.evaluate|Évaluer
rh.gross|Salaire brut
rh.net|Salaire net
rh.deductions|Cotisations
rh.cnss|CNSS
rh.irpp|IRPP
stock.products|Produits
stock.supplier|Fournisseur
stock.outOfStock|Rupture de stock
stock.movement|Mouvement
stock.entry|Entrée
stock.exit|Sortie
stock.adjustment|Ajustement
stock.inventory|Inventaire
stock.reorder|Seuil de réappro.
achats.title|Achats
achats.order|Bon de commande
achats.supplier|Fournisseur
achats.received|Réceptionné
achats.pending|En cours
crm.title|CRM
crm.clients|Clients
crm.prospect|Prospect
crm.contact|Contact
crm.opportunity|Opportunité
crm.pipeline|Pipeline
crm.activity|Activité
crm.followUp|Relance
school.teachers|Enseignants
school.classes|Classes
school.schedule|Emploi du temps
school.absences|Absences
school.fees|Frais scolaires
school.bulletin|Bulletins
school.diploma|Diplômes
school.enrollment|Inscription
school.academic|Académique
school.recovery|Recouvrement
school.activeSessions|Sessions actives
school.unpaid|Impayés
school.enrolled|Inscrits (année en cours)
school.agents|Agents
school.trainers|Formateurs (Enseignants)
school.receipts|Recettes
school.exits|Sorties du jour
school.cashflowAnalysis|Analyse des Flux Financiers
school.recoveryTarget|Objectif Recouvrement
school.annualRevenue|Chiffre d\
school.shortcuts|Raccourcis
